TAZ,FIPS,Emp,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,Cons,Manu,TCU,Whol,Retail,FIRE,Serv,Govt
1092,121,11,0,0,0,0,0,0,0,0,1,1,3,3,0,1,0,0,0,0,2,0,0,0,1,0,0,4,6,0
1093,121,15,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,12,0,0,0,0,0,0,1,0,0,1,13,0
1094,121,9,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,5,0,0,0,0,0,0,1,0,0,1,7,0
1095,121,31,0,0,0,0,0,0,13,0,1,1,3,0,0,4,0,5,0,4,0,0,0,0,1,0,17,4,9,0
1096,121,6,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0
1097,121,392,0,0,0,0,0,1,5,0,1,1,0,0,0,21,352,0,0,2,9,0,0,0,1,1,7,1,382,0
1098,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,121,53,0,0,0,0,0,0,15,0,0,1,0,2,0,4,0,5,0,26,0,0,0,0,0,0,41,1,11,0
1101,121,173,0,0,0,4,0,0,9,0,0,1,3,30,0,9,96,1,0,3,0,17,4,0,0,0,12,4,136,17
1102,121,146,0,0,0,0,0,0,0,0,0,0,0,0,0,8,138,0,0,0,0,0,0,0,0,0,0,0,146,0
1103,121,106,0,0,0,0,0,0,95,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,95,0,11,0
1104,121,25,0,0,0,0,4,0,1,0,0,0,0,0,0,11,0,0,0,0,9,0,0,4,0,0,1,0,20,0
1105,121,574,0,0,0,0,0,0,31,0,0,1,91,319,0,29,103,0,0,0,0,0,0,0,0,0,31,92,451,0
1106,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,121,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,12,0
1108,121,23,0,0,0,0,0,0,19,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,19,0,4,0
1109,121,105,0,0,0,5,0,0,5,0,13,10,0,25,0,9,0,0,0,26,12,0,5,0,13,0,31,10,46,0
1110,121,93,0,0,0,0,0,9,1,0,1,6,0,0,0,9,22,0,0,36,9,0,0,0,1,9,37,6,40,0
1111,121,56,0,0,0,2,0,0,5,0,0,0,0,2,5,5,0,35,0,0,2,0,2,0,0,0,5,0,49,0
1112,121,416,0,0,0,22,0,0,12,59,0,58,0,35,0,34,0,16,0,75,21,84,22,0,59,0,87,58,106,84
1113,121,374,0,0,0,0,0,7,133,0,0,6,0,5,0,26,120,11,0,4,42,20,0,0,0,7,137,6,204,20
1114,121,396,0,0,0,0,0,0,5,0,0,0,0,0,0,29,0,5,0,19,2,336,0,0,0,0,24,0,36,336
1115,121,113,0,0,0,0,0,0,12,0,0,0,0,26,0,9,2,29,0,0,35,0,0,0,0,0,12,0,101,0
1116,121,1357,0,0,0,0,470,86,88,138,0,1,40,6,9,242,222,22,0,11,0,22,0,470,138,86,99,41,501,22
1117,121,103,0,0,0,0,54,0,0,23,0,1,0,17,0,8,0,0,0,0,0,0,0,54,23,0,0,1,25,0
1118,121,27,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,1,26,0
1119,121,233,0,0,0,0,0,0,43,0,0,1,0,0,0,30,0,58,4,95,2,0,0,0,0,0,138,1,94,0
1120,121,321,0,0,0,0,0,0,18,0,0,1,21,29,0,26,0,94,0,1,54,77,0,0,0,0,19,22,203,77
1121,121,178,0,0,0,1,1,0,0,54,0,0,0,14,4,15,0,52,0,0,37,0,1,1,54,0,0,0,122,0
1122,121,628,0,0,0,13,4,11,1,22,0,0,0,0,4,45,0,22,0,0,3,503,13,4,22,11,1,0,74,503
1123,121,318,0,0,0,0,0,13,0,0,0,3,0,0,4,11,172,78,0,0,10,27,0,0,0,13,0,3,275,27
1124,121,2941,0,0,0,0,423,0,1,35,0,6,0,0,4,126,481,1824,0,41,0,0,0,423,35,0,42,6,2435,0
1125,121,34,0,0,0,0,0,0,24,0,0,0,0,0,4,2,0,0,0,4,0,0,0,0,0,0,28,0,6,0
1126,121,61,0,0,0,0,0,0,0,0,0,0,24,0,26,3,0,0,0,0,8,0,0,0,0,0,0,24,37,0
1127,121,307,0,0,0,0,0,22,24,0,0,0,2,10,26,18,13,41,0,146,5,0,0,0,0,22,170,2,113,0
1128,121,358,0,0,0,202,40,39,0,1,0,0,0,0,26,10,0,0,0,1,39,0,202,40,1,39,1,0,75,0
1129,121,984,0,0,0,0,40,25,62,72,0,4,3,10,26,66,129,75,4,264,6,198,0,40,72,25,326,7,316,198
1130,121,3579,0,0,0,24,0,24,22,282,0,2097,26,5,0,619,110,129,2,130,107,2,24,0,282,24,152,2123,972,2
1131,121,2707,0,0,0,0,0,0,71,471,16,8,128,124,18,268,0,23,2,1512,64,2,0,0,487,0,1583,136,499,2
1132,121,1036,0,0,0,0,0,0,0,1,0,3,0,188,568,44,32,0,0,200,0,0,0,0,1,0,200,3,832,0
1133,121,24402,0,0,0,162,11,18,30,15809,0,3,1,882,0,1337,32,0,0,1495,512,4110,162,11,15809,18,1525,4,2763,4110
1134,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,121,316,0,0,0,0,42,4,3,33,0,6,0,21,0,25,9,135,1,19,3,15,0,42,33,4,22,6,194,15
1136,121,1139,0,0,0,28,4,0,18,6,2,12,0,86,13,75,642,68,0,169,3,13,28,4,8,0,187,12,887,13
1137,121,1168,0,0,0,0,0,0,0,0,0,0,586,2,0,72,0,6,0,461,24,17,0,0,0,0,461,586,104,17
1138,121,510,0,0,0,17,0,43,46,94,4,12,28,23,0,30,1,28,0,176,6,2,17,0,98,43,222,40,88,2
1139,121,48,0,0,0,16,16,7,0,0,0,0,0,0,0,3,0,0,0,0,6,0,16,16,0,7,0,0,9,0
1140,121,831,0,0,0,32,121,14,0,61,47,0,2,10,0,62,0,0,0,0,482,0,32,121,108,14,0,2,554,0
1141,121,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1142,121,17,0,0,0,8,0,0,5,0,0,0,0,0,0,1,0,0,0,0,3,0,8,0,0,0,5,0,4,0
1143,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,121,19,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,1,0
1145,121,745,0,0,0,0,0,2,68,0,0,32,0,37,0,37,133,36,0,107,3,290,0,0,0,2,175,32,246,290
1146,121,672,0,0,0,0,2,13,55,26,0,4,125,12,0,36,0,22,0,20,41,316,0,2,26,13,75,129,111,316
1147,121,1492,0,0,0,39,73,764,0,72,11,0,9,0,0,238,40,0,0,158,88,0,39,73,83,764,158,9,366,0
1148,121,566,0,0,0,8,0,0,15,0,11,0,140,38,0,53,0,4,0,0,297,0,8,0,11,0,15,140,392,0
1149,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1150,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,121,11,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0
1152,121,235,0,0,0,0,0,0,10,9,11,14,42,0,0,38,94,1,0,16,0,0,0,0,20,0,26,56,133,0
1153,121,62,0,0,0,8,0,0,0,7,0,1,0,3,1,11,0,29,1,1,0,0,8,0,7,0,1,1,45,0
1154,121,53,0,0,0,0,0,0,19,0,0,1,0,3,1,27,0,0,1,1,0,0,0,0,0,0,20,1,32,0
1155,121,1915,0,0,0,1,377,136,336,43,0,4,24,223,1,127,0,12,2,590,39,0,1,377,43,136,926,28,404,0
1156,121,401,0,0,0,1,0,0,27,90,0,4,0,63,1,34,0,68,2,48,13,50,1,0,90,0,75,4,181,50
1157,121,429,0,0,0,1,0,0,0,55,0,4,19,0,1,31,0,19,2,290,7,0,1,0,55,0,290,23,60,0
1158,121,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,19,0,0,0,0,0,0,0,25,0
1159,121,52,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,33,0,19,0
1160,121,269,0,0,0,0,0,0,18,0,0,5,18,1,0,25,100,10,0,75,0,17,0,0,0,0,93,23,136,17
